Catalog Number, Description, 2022, 2021, 2020, 2019
5719303B, POLY-CUBITAINER 1GAL 12/CS, 116.57, 114.25, 111.62, 
5719359B, BTL HDPE WM CLR ST 250ML 60/CS, 335.61, , , 
5719401, AMB BRO VL W/SPT 200SER 72/CS, 233.67, 229.09, , 223.46
5721121, 2 1/2 GALLON LDPE CUBITAINER, 87.74, 85.8, , 82.66
5769Q, ANGLE CLAMP ADJUSTABLE, 34.53, 31.96, , 
57697Q, CLAMP TRI-GRIP SMALL, 33.5, 31.41, 30.54, 
640637, VIAL CL GLS SERUM 2ML 144/CS, 78.64, 78.64, , 
640640, CAP BLK PLAST 13-425 200/CS, 241.29, 241.29, 236.79, 
64126, VIAL BORO CLR N/CAP 4ML 200/CS, 139.98, 139.98, , 
64141A, BTL MEDIA PYREX 100ML 10/CS, 103.88, 103.88, 106.87, 
64141B, BTL MEDIA PYREX 250ML 10/CS, 115.79, 115.79, 119.13, 
64141C, BTL MEDIA PYREX 500ML 10/CS, 137.07, 137.07, 141.02, 
64141D, BTL MEDIA PYREX 1L 10/CS, 168.58, 168.58, 173.44, 
64141E, BTL MEDIA PYREX 2L, 55.34, 55.34, 56.93, 
644318, FB50MLTBE PP\FLAT\GRD\S 500CS, 101.31, 83.79, 83.79, 83.79
644319, FB50MLTBE PP\FLAT\GRD\S 500CS, 104.58, 88.15, 83.79 (matched with similar item: 0644318), 86.5
6570MI, ANTI-PHOSPHO-HISTONE H3 (SER10, 518.37, 501.6, , 
6611924, TOPAZLNRSPLTLSSSNGLTPRWL5PK, 95.9, , , 
66624, TIME TEMPERATURE WITH MEMORYT, 44.8, 46.16, , 
666246, TIMER FISHER 3-LINE ALARM, 42.86, 44.14, 43.88, 
666411, FISHER REFRIG FREZ THERMOMETER, 47.51, 48.98, 48.77, 
6664269, TRACEABLE_ MEMORY PLUS THERM, 52.93, 54.22, , 
666632B, TOWL HND SURPAS C-FLD 2400/CS, 45.26, 43.506719999999994, 42.43, 
666978, TOWELETTE CASTILE SOAP 1000/CS, 97.16, 94.98, , 
6718436, VIALS 1000PK, 214.21, 195.87, 187.29, 
6718439, VIALS 1000PK, 232.5, 210.35, 203.1, 
6718495, INLET SEALS 10PK, 272.97, 282.8, 282.33, 
6718653, ALUMINUM SEAL W/SEPTA 1000PK, 527.06, 509.39, , 
6718904, CAPS SHORT SCREW 1000PK, 250.81, 238.69, 228.94, 
6802785, SYRNG FLTR 13MM0.45 PTFE 100PK, 118.92, 121.55, 116.89, 
7P0209A, PICCOLO KIDNEY CHECK 10/EA, 127.61, 135.69, , 
7000030, 24WPLATE PS TC ST CL LID 120/C, 265.27, 265.27, , 411.6
7000088, 96W F200PLT PS MB BLK/CLR 40CS, 187.22, 187.22, , 277.05
7000124, 96W PLT PS FB CLR UNTRD 100/CS, 221.92, 221.92, 228.31, 229.34
7000129, 96W PLT PS MB CHM BLACK 40/CS, 169.7, 169.7, , 175.38
7000153, 96W PLT VBOT CHMSTYLE NAT100CS, 300.93, 300.93, , 
7000159, 96WPLT PP DW 1ML RB ST CL 50CS, 231.24, , , 
7000160, 96WPLT PP DW HLF-ML VB CL 80CS, 236.55, , , 
7000166, 96WPLT PS ST TC BLK/CLRLD 32CS, 263.51, 263.51, 271.1, 272.33
7000169, 96WPT PP DW HLFML VB STCL 80CS, 365.93, 365.93, , 
7000202, CELLSTAR 12W ST TC PS LID 100C, 324.97, 324.97, , 335.84
7000206, CELLSTAR 48W PS ST TC LID 100C, 427.49, 427.49, , 441.79
7000208, CELLSTAR 6W PS ST TC LID 100/C, 270.95, 270.95, 278.76, 280.02
7000229, CELLSTAR T-75 TC ST FLTRCP120C, 455.25, 455.25, 468.36, 470.48
7000239, CFG TB 50ML VBOT PP ST 500/CS, 345.27, 345.27, 355.22, 356.83
7000241, CFG TB PP ST 15ML W/CAP 1000CS, 533.5, 533.5, 548.87, 551.35
7000328, PETRI DISH 60X15 6VENT 600/CS, 148.23, 148.23, , 153.19
7000363, SERO-PIPET 10ML S BULK 500/CS, 189.86, , , 281.05
7000366, SERO-PIPET 25 S PAPR/PLAS 200C, 250.65, 250.65, 257.87, 259.04
7000367, SERO-PIPET 25ML S PLAS WP 200C, 176.95, 176.95, , 259.55
7000368, SERO-PIPET 25ML ST BULK 200/CS, 92.22, 83.56, , 245.21
7000370, SERO-PIPET 5 S PAPR/PLAS 200CS, 116.7, 116.7, 120.06, 120.6
7000371, SERO-PIPET 50 S PAPR/PLAS 100C, 278.88, 278.88, , 288.21
7000374, SERO-PIPET 5ML ST BULK 500/CS, 180.47, , , 271.72
7000376, SERO-PIPT S 10 PR/PLAS WP 200C, 125.14, 125.14, 128.74, 129.32
7000384, T-175 TC ST LO-PRO FLTR CP 50C, 331.4, 331.4, 340.95, 342.49
7000386, TC DISH 100X20 ST TC VENT 360C, 526.58, 526.58, 541.75, 544.2
7000388, THINCERT 12W 0.4UM 1X10E8 48CS, 186.05, , , 
7000465, CFG TB VB ST 15ML BLU 500CS, 273.93, 273.93, , 283.09
7000686, ADVTC DISH 100 X 20 360/ CS, 551.1, , , 
7000715, SAPH PCR TBE .2 ML 120/PK, 90.3, 90.3, , 
7200108, PLT MICR 96WL V-BTM 100/CS, 204.32, 204.32, , 
720012, PIPET 10ML IND 200/CS, 102.64, 96.61, , 99.84
7200127, RGNT RESERVOIR F/PIPTR 200/CS, 148.67, 123.19127999999999, 121.31, 119.92
7200128, RGNT RESERVOIR F/PIPTR 100/CS, 198.4, 170.1, 175.0, 
7200129, RESERVOIR 100ML BULK 200/CS, 192.86, 192.86, , 136.01
720014, PIPET SER RED 25ML 200/CS, 201.01, 197.39, 203.08, 
7200147, TC INSRT 24WL 6.5MM .4UM 48/CS, 266.38, 224.51255999999998, 223.24, 224.25
7200149, TC INSRT 24WL 6.5MM 5UM 48/CS, 266.29, 224.4348, 223.17, 224.18
7200150, TC INSRT 24WL 6.5MM 8UM 48/CS, 266.29, 230.80139999999997, 237.45, 224.18
7200154, CELL INS 24WL 6MM CLR .4 48/CS, 264.78, 235.01015999999998, 241.78, 228.09
7200156, TC INSERT 12WL 12MM .4UM 48/CS, 287.25, 248.71535999999998, , 
7200161, CELL INS 12MM CLR .4UM 48/CS, 283.03, 238.45103999999998, 243.07, 244.17
7200170, TCT 24MM T/W CLR .4UM PE 24/CS, 156.51, 131.86151999999998, 134.1, 134.71
7200174, TRANSWELL 6.5MM 8.0UM PET 48CS, 260.06, 231.86, , 218.97
7200184, MCT PRE-SILCN CLR 1.7ML 250/CS, 30.95, 30.95, , 31.98
720024, WELL STRIP IND FLAT BTM 800/CS, 473.38, 473.38, , 
7200296, TIP PIPET 1-200UL NAT BLK M/CS, 19.73, , , 
7200298, TIP PIPET 1000UL BLU BLK M/CS, 52.58, 52.58, , 
7200304, TIP BL 100-1000UL RK ST M/CS, 106.43, 106.43, , 
7200309, PLT A12 FB TCT ST PS WH 100/CS, 687.64, , , 
7200317, C-TB IND N/S BK 960/CS, 56.51, 56.51, 58.14, 54.74
720035, EIA PLT FLT BTM HI-BNG 100/CS, 348.35, 348.35, 358.38, 329.05 (matched with similar item: 0720039)
7200364, CELL LIFTER 100/CS, 185.61, 185.61, 190.96, 
7200365, CELL SCRAPER 100/CS, 275.86, 275.86, , 
7200385, FLTR CENT TUBE .2CA 96/CS, 224.69, 191.12436, 193.8, 193.91
7200386, FLTR CENT TUBE .2CA N/S C/CS, 201.62, 171.51912000000002, 176.17, 
7200389, FLT CENT TB .2UM NY N/S 200/CS, 443.46, 443.46, 456.23, 
720039, EIA PLT FLT BTM HI-BNG 100/CS, 342.2, 342.2, 358.38 (matched with similar item: 0720035), 329.05
7200534, MICRO CENT TUBE 1.7ML 500/CS, 52.86, 51.05, 52.52, 52.76
7200535, MICRO CENT TUBE 1.7ML 5000/CS, 531.18, 531.18, 546.48, 
7200547, PIPETTE 100ML IND 100/CS, 704.8, 704.8, , 
7200564, ASPIRATOR STARTER SET 1CS, 450.73, 450.73, , 
7200565, TC PLT 96WELL STR W/LID 48/CS, 350.07, 332.93, 342.52, 335.81
7200566, TC PLT 96WEL CLR BTM LID 48/CS, 349.91, 328.48, 337.94, 339.47
7200567, PLT 96WEL TC BLK NONTRT 100/CS, 569.85, 569.54, 585.95, 
7200573, STRIPET 5ML PAP/PLAS ST 200/CS, 96.59, 82.5714, 84.72, 85.1
7200574, STRPETTE PPER/PLSTC10ML 200/CS, 101.79, 87.02316, 89.27, 89.67
7200575, STRIPET IN PPR/PLST 25ML 200CS, 210.84, 180.22823999999997, 185.01, 185.85
7200576, STRPET 50ML PA/PLAS 100/CS, 226.66, 203.25, 209.1, 210.05
7200588, PLT 96WL BLK CLR TRT ST 100/CS, 694.62, 642.72, 661.23, 619.97
7200590, PLT 96WL SLD BLK NONTRT 100/CS, 333.89, 297.18899999999996, 305.75, 307.13
7200601, PLT 6WELL ULTR LOW ATTCH 24/CS, 390.47, 335.25252, 344.91, 346.47
7200602, PLT 24WELL ULT LOW ATTCH 24/CS, 401.45, 356.00471999999996, 366.26, 355.59
7200603, PLT 96WELL ULT LOW ATTCH 24/CS, 458.36, 441.39, , 
7200615, CRYOGENIC BX 81 COUNT 2ML 10CS, 150.7, 150.7, , 
7200619, STRIPETTE WIDE TIP 10ML 50/PK, 43.57, 43.57, , 
7200620, STRIPETTE IN PP 100ML 10/PK, 54.88, 54.88, , 
7200621, CENTRIFUGE TUBE 500ML 6/PK, 26.33, 26.33, 27.09, 27.21
7200628, PLT 96-WL SLD WH W/LD STR C/CS, 392.27, 392.27, 403.57, 
7200644, PLT 384-WL CLR LID TC/S 100/CS, 754.76, 754.76, , 
7200656, 96WL FBTM PLT LID NT ST 100/CS, 262.72, 262.72, 270.29, 271.51
7200668, 250 ERLENMEYER VENT CAP 50/CS, 586.32, 556.23, 572.25, 
7200670, 125 ERLENMEYER VENT CAP 50/CS, 506.28, 487.57, 501.62, 
7200672, 1 L. ERLENMEYER VENT CAP 25/CS, 799.25, 799.25, , 559.95
7200698, 96WL PP V-BTM PLTE STRL 100/CS, 259.18, 231.68, , 
7200700, ASSAY BLOCK 2ML STR 96WL 25/CS, 225.37, 225.37, , 
7200706, 96WL FB CNR NCH PLT LID 100/CS, 377.36, 377.36, , 
7200721, 96WL PLT FBTM HBIN LID 100/CS, 501.62, 501.62, 516.07, 
7200740, 24WL TISCULT CLUSTR BLK 100/CS, 314.73, 268.05816, 275.78, 277.03
7200760, 96W1ASSAY PLTPS RNDW/LID100CS, 275.98, 275.98, 283.93, 
7200777, 96WL CLR/CLR PLT W/NBS 100/CS, 605.37, 605.37, , 
72008, PIPET 5ML BULK 500/CS, 197.72, 183.33, , 
720080, PLATE 6-WELL TC 16.8ML 100/CS, 248.49, 210.3408, 211.1, 212.05
720081, PLATE 12-WELL TC 6.9ML 100/CS, 287.31, 263.21, 270.79, 251.63
720082, PLATE 12-WELL TC 6.9ML 50/CS, 147.05, 124.4646, 124.58, 125.14
720083, PLATE 6-WELL TC 50/CS, 126.74, 107.32824, 110.42, 110.92
720084, PLATE 24-WELL 3.4ML 100/CS, 321.09, 272.8404, 280.7, 281.97
720086, PLATE 48-WELL 1.6ML 100/CS, 378.63, 320.73084, 329.97, 331.46
720087, PLATE 96-WELL 0.1 -0.2ML 50/CS, 202.14, 178.07039999999998, , 184.03
7200886, CENT TBE PP SLV 15ML FT 500/CS, 81.18, 68.68, 67.14, 67.14
720089, PLT 96 WELL LOW EVP .365 50/CS, 221.95, 187.85844, 192.04, 192.91
720090, PLT 96-WELL FLT BTM .365 50/CS, 221.97, 194.97348, 200.59, 201.5
720091, PLT 96-WELL FLAT .365ML 100/CS, 334.3, 287.83835999999997, 296.13, 297.47
720095, PLT PST 96WL U-BTM.33ML 50/CS, 232.74, 217.67, 223.94, 224.95
720098, PLT MICR 96-WL FLT STYR 100/CS, 162.81, 152.1, 156.48, 157.19
720099, PLT MICR 96WL U-BTM PVC 100/CS, 242.39, 242.39, , 
7201053, CORNING 20-200 UL LAMBDA ELITE, 655.98, 655.98, , 
7201320, PLT 384W WT TCT STER LID 50/CS, 446.99, 446.99, 437.31, 
7201590, 24WL PLATE NONTREATED100/CS, 431.66, 431.66, , 
7201680, 96WL PLT RND ULA STER 24/CS, 571.32, 571.32, 587.78, 
7201733, 33MM CELLSTACK LEUR S 5/CS, 325.94, 325.94, , 
7201883, MICROPLATE SEALING TAPENS500, 271.98, 271.98, 279.81, 
7202000, FLASK 75CM2 U-SHAPE VENT 100CS, 326.67, 276.20352, 275.98, 277.23
7202001, FLASK75CM2U-SHAPEPLUG100CS, 295.4, 262.38, 269.94, 271.16
7202003, FLASK75CM2U-SHAPEVENT100CS, 319.99, 293.78, 302.24, 
7202010, PETRI DISH100X15MMSLIP500CS, 78.68, 78.68, 80.95, 59.01 (matched with similar item: FB0875713)
7202011, PETRI DISH100X15MMSTACK500C, 70.36, 70.36, 72.39, 72.72
7202200, LSE PLATFORM ROCKER 115V, 682.83, 682.83, 702.5, 
7202350, PIPET CONTROLLER ULTRA W/UNI, 344.82, 344.82, 354.75, 356.35
7202441, 20-200UL 8-CHNL PIPTR, 588.65, , , 
7203954, CORNING MINI CENTRIFUGE 1/CS, 401.86, 401.86, 413.44, 
7210122, ICE BUCKET ROUND 4L GRN 1/CS, 108.98, 108.98, , 
7250140, STIRRER HOTPLTE KIT 5X7 1/CSS, 609.89, 531.51876, 528.51, 530.59
7449MI, ANTI-TRIMETHYL-HISTONE H3 (LYS, 518.37, 520.74, , 
7476MI, ANTI-P75NTR (NEUROTROPHIN RECE, 456.64, 454.29, , 
75783A, DRIERITE INDI 8 MESH 1LB, 41.23, 35.83, , 
75783B, DRIERITE INDICAT 8 MESH 5LB, 144.6, 120.92, 117.88, 
7596MI, ANTI-HISTONE H4 (CITRULLINE 3), 456.64, 447.07, 426.56, 
7764700, CORNING PIPETTOR 0.2-2UL 1CS, 329.5, 329.5, 338.99, 
7764702, CORNING PIPETTOR 2-20UL 1CS, 335.46, 335.46, 345.12, 
7764703, CORNING PIPETTOR 10-100UL 1CS, 338.86, 338.86, 348.62, 
7764705, CORNING PPETTOR 100-1000UL 1CS, 335.46, 335.46, 345.12, 
7770110, STIRRER DGT DISP 5X7 230V 1/CS, 368.99, , , 
7965G, CRUCIBLE HIGH FORM 50 ML, 34.43, 36.61, , 
8100240, CELL LIFTER INDIV WRAP 100/CS, 67.62, 69.1, 69.29, 
8100241, CELL SCRAPER INDIV WRAP 100/CS, 100.24, 95.7, 95.7, 
8100242, CELL SCRAPER LG INDIV 100/CS, 122.8, 115.46, , 
8101196, STEEL 3D PRINTER CART 1 FR DRW, 671.38, , , 
82371A, CRUCIBLE 50ML COARSE, 82.47, , , 
8408240, CLEAR PLATE SEALERS 100/CSCLE, 72.99, 68.65, 66.59, 66.59
841410B, TISSUE GRINDER 7ML, 272.22, , , 
85495E, CYLINDER GRAD 100ML 4/PK, 180.49, 180.49, , 
85524C, CYLINDER SINGLE GRA 100ML, 47.46, 47.46, , 
85524E, CYLINDER SGL GRAD 500ML, 91.95, 91.95, , 
85524F, CYLINDER SGL GRAD 1000ML 1/CS, 99.62, 99.62, , 
85524J, CYLINDER 2000ML 1/CS, 160.07, 160.07, , 
8572G, CYLINDER GRAD PP 1000ML, 98.51, 95.14, , 
864223C, DESCTR CBNT ACR 18X12X12 1/CS, 504.33, 504.33, 505.72, 
86703A, DIALYSISTUBING SP2 14K 45MM15M, 396.91, 410.01, , 
86703AA, DIALYSISTUBING SP2 14K 10MM15M, 394.97, , , 
8670308, HOLLOWFIBER MEM S/P RC13K 20PK, 201.08, 205.0, , 
86705B, DIALYSISTUBING SP3 3.5K45MM15M, 345.7, 356.36, 354.13, 
86705C, DIALYSISTUBING SP3 3.5K54MM15M, 372.81, 384.39, , 
8732101, ALUM DISH FLUTED 42ML 144/PK, 14.22, 14.4, , 
8732112, WEIGH DISH PS SMALL 500/PK, 31.12, 31.78, 31.57, 
8732113, WEIGH DISH PS MEDIUM 500/CS, 35.06, 35.64, 35.44, 
8732115, WEIGH DISH PS LARGE 500/CS, 51.92, 52.92, 53.07, 
8741H, DISH CRYSTALLIZING 190MM 2/PK, 217.68, 217.68, , 
8747C, DISH PETRI 100X15MM 12/PK, 87.8, 87.8, 86.07, 85.22
875710E, DISH PETRI 150X25MM DEEP 72/CS, 193.81, 180.08, 185.27, 186.11
8757100A, PETRI DISH 35X10MM 500/CS, 211.08, 206.61, 212.56, 213.52
8757100B, PETRI DISH 60X15MM 500/CS, 152.47, 145.46, 149.65, 150.33
8757100D, PETRI DISHES 100X15MM 500/CS, 140.78, 140.24, 144.28, 144.93
8757105, PETRI DISH 50X9MM 500/CS, 358.59, 358.59, , 
8757148, PETRI DISH 150X15MM 100/CS, 115.41, 115.41, , 113.45
8757214, MULTIPLE WELL PLATE TC 50/CS, 197.37, 196.68, , 
875728, DISH PETRI 100X25MM ST 300/CS, 291.95, 266.26, 273.93, 275.17
8757313, 2ML ASPIRATING PIPETTE 500/CS, 341.68, , , 
8757502, FLASK 150CM NON TREATED 50/CS, 378.46, 378.46, 389.36, 
8770, CELL INSRT .45U 6MM STR 48/CS, 227.17, 227.17, , 234.77
8771, CELL CULTURE INSERT 6/PK, 42.99, 42.99, , 
87711, CELL STRAINER STRL 40UM 50/CS, 117.03, 108.31967999999999, 111.44, 111.94
87711A, CELL SCRAPER 18CM 100/CS, 204.34, 204.34, 210.23, 
877119, CELL STRAINER STRL 100UM 50/CS, 117.03, 106.98803999999998, 109.08, 109.57
87712, CELL STRAINER 70UM STER 50/CS, 117.03, 108.20303999999999, 111.32, 111.82
877121, CELL CULT INSRT 24WL 8ML 48/CS, 237.03, 237.03, 243.86, 
877123, CELL STRAINER CP ST 5ML 500/CS, 560.38, 501.57144, 516.02, 518.35
877126, FT BTM OPAQUE 96 WELL 50/CS, 206.98, 206.98, , 
8772A, DISH TISSUE/C 35X10MM 500/CS, 218.23, 199.91124, 203.72, 197.28
8772B, DISH TISSUE/C 60X15MM 500/CS, 250.33, 227.60352, 231.94, 
8772E, DISH TISSUE/C 100X20MM 200/CS, 216.27, 197.559, 201.33, 201.99
8772F, DISH 60X15 EASY GRIP 500/CS, 261.38, 240.65748, 247.59, 
87721, TISSUE CULT PLATE 24WEL 50/CS, 120.0, 112.46, 115.7, 116.22
87721B, TISSUE CULT PLATE 6WELL 50/CS, 94.98, 94.98, 97.72, 98.16
87721C, PLATE TC PS STRL 48 WELL 50/CS, 155.43, 150.5, 154.84, 155.54
87721F, FLASK TC VENT CAP 25ML 100/CS, 167.95, 151.36955999999998, , 154.26
87721H, PLATE 24 WELL TC 36/CS, 96.82, 94.26, 96.98, 97.42
87721J, PETRI-FLSK NON-TC 70ML 200/CS, 355.99, 355.99, 346.24, 
8772116, 384-WELL WH/CL ASY 120UL 50/CS, 533.26, 533.26, 548.62, 
877217, TC BTM PLT W/L EVAP LID 50/CS, 171.26, 167.06, 171.87, 160.41
87722C, TC PLATE W/LID 96 WELLS 50/CS, 159.0, 155.36, 159.84, 150.28
877220, TIS CLT DSH 35X10MM 500/CS, 282.84, 249.0264, , 245.33
877221, TIS CULT DISH 60X15MM 500/CS, 309.97, 264.9672, 268.7, 267.89
8772225, PLT 96W BLK/CLR IMG TC 32/CS, 192.54, 192.54348, 198.09, 198.99
877223, TIS CULT DISH 100X20MM 480/CS, 637.75, 561.01896, 577.18, 555.6
877224, TIS CUL DISH 150X25MM 60/CS, 168.75, 144.25451999999999, 146.28, 145.19
877229, TC PLATE 12 WELL PS 50/CS, 110.94, 104.04, 107.04, 107.52
87723, TC PLATE W/LIDS 96-WELL 50/CS, 173.27, 160.58, 165.21, 165.96
877233, TC PLATE 6 WELL BULK TRAY60CS, 126.06, 126.06, , 
877248, FLSK TC 5001 PS VNT CAP 40/CS, 177.86, 163.42236, 168.13, 168.89
877249, PLT 6WEL NON-TC FL BT PS 50/CS, 99.92, 99.92, 102.8, 103.26
877251, PLT 24WEL NO-TC FL BT PS 50/CS, 181.36, 181.36, , 
877253, PLT 96WEL NO-TC FL BT PS 50/CS, 133.75, 119.93508, 123.39, 123.95
877254, PLT 96WEL NO-TC U BTM PS 50/CS, 141.86, 137.76, 141.73, 
87726, DISH INTEGRI T/C 150X25 100/CS, 231.87, 211.98348, 216.02, 208.65
877269, BCT COL I 6-WELL PLATES 50/CS, 485.78, 485.78, , 
877273, BCT COLI 35MM CULTUR DISH C/CS, 230.41, 223.12, , 
87741, CULT PLATE RAT 6-WELL 5/CS, 63.66, , , 
8774122, CULT INS B MEM MATRX 24W 24/CS, 376.68, 376.68, 363.99, 356.85
8774162, CL INS PLT CNTRL 8U 24WL 24/CS, 148.24, 148.24, , 143.07
8774193, MTRGL INVSN CHMBRS 8U GFR 24CS, 407.45, 407.45, , 316.18
877426, FALCON CULTURSLIDE 8-WELL 24CS, 233.42, 233.42, , 224.43
8774383, BCT PLL RND CVRSLIPS 12MM 80CS, 188.49, 188.49, , 
8774384, BCT PDL RND CVRSLIPS 12MM 80CS, 188.49, 188.49, , 
8774392, BD MTRGL MTRX HC GF REDCD, 516.56, 538.41, 518.16, 
8774406, MATRIGEL FOR ORGAN CULT PRF, 441.41, , , 
8774552, BD MATRIGEL HESC-QUALIFIED, 259.62, 244.02, 275.72, 265.12
8812, DISH SLIDE STAIN W/TRAY, 120.21, 120.21, , 
89185B, DISSECT BLADE NO. 21 100/PK, 286.27, 290.51, , 
89275D, SCALPEL DISPOSABLE NO21 20/PK, 93.54, 95.13, 94.09, 
8940, SCISSORS 4.5 STR SS DISSECT, 11.25, 11.25, 11.28, 
9034145, HOLLOW FIBER FILTER .2MIC, 184.7, 182.18, 176.82, 
9050269, 4MOD ORGANICFREE CARTRIDGE KT, 826.83, 812.3, 791.49, 
9050279, FILTER EASYPURE 0.2 MICRON, 157.98, 155.44, , 
9050285, 4 MODULE ORGNC FREE TYPE I KIT, 826.83, 813.97, , 
92550, SCH 23390 HYDROCHLORIDE 50 MG, 646.64, , , 
930079, CELLNT WH/GR/ST/.45U/47 1000PK, 542.3, , , 
9313719, DIAMOND RO MEMBRANE, 723.48, 692.8, 676.27, 
9528110, GEL SYSTEM MINI 7CMX8CM, 595.27, 595.27, 579.61, 
9528110B, GEL SYSTEM MINI 12CMX14CM, 759.18, 759.18, 737.72, 
9528165, MINIGEL SYSTEM 14.4 X 10.2 CM, 983.55, 893.38, 869.89, 
9528166, GASKETED UVT TRAY, 200.35, 200.35, , 
9528178, MINIGEL SYSTEM 9X11CM, 674.83, 674.83, 656.98, 
9529712, WCN WH GRID ST 47MM .45U C/PK, 98.08, 98.08, , 
955238, FLSK SHAKE X-DP BAFFLES 2BX/CS, 607.91, , , 
955239, FLSK FRNBACH BAFF BEAD NK 3CS, 466.55, 466.55, , 
9719C, SYR FLT 25MM .2UM NYL ST 50/PK, 86.38, 88.99, 85.01, 85.01
9719D, SYR FLT 25MM.45UM NYL ST 50/PK, 83.68, 86.25, , 83.62
9719G, SYR FLT 25MM.2UM PTFE NS 50/PK, 110.41, 113.65, , 
97192D, MEMBR FLTR 0.45UM  25MM 100/PK, 43.56, 44.62, 42.82, 
97192E, MEMBR FLTR 0.45UM 47MM 100/PK, 78.78, 81.01, 77.49, 
9720004, FS 33MM SYRINGE FILTER 0.22UM, 58.25, 58.17, 55.8, 53.07
97203, SYRFLT 13MM.22UM PVDF STR100PK, 138.42, 138.03, 132.6, 126.82
9720508, CENTRICON PLUS 70 3K NMWL 8PK, 295.4, 301.67, , 
9740103, SYRINGE PREFLTRGF1.1UM25MM, 166.78, , , 
9740104, SYRINGE FLTRGF+0.2UM CA25MM, 214.15, 195.66, , 185.13
9740105, SYRINGE FLTRSFCA0.2UM25MMS, 157.62, 135.8856, 136.1, 136.72
9740106, SYRINGE FLTRSFCA0.45UM25MM, 157.62, 135.8856, 136.1, 136.72
9740113, SYRINGE FLTRPES0.2UM25MMST, 157.62, 135.8856, 136.1, 136.72
974021A, FILTER UNIT ANAL .20UM 12/PK, 132.24, 132.24, 136.05, 136.66
974022F, FLTR BTLTOP 45MM 150ML 12/CS, 86.72, 75.5244, , 78.05
974022H, FLT BTLTP 33-430MM 500ML 12CS, 120.16, 107.61, 110.71, 111.21
974022K, FLTR BTLTOP 45MM 500ML 12/CS, 120.16, 107.61, 110.71, 111.21
974025A, FILTER UNIT .20UM 500ML 12/CS, 199.71, 175.52376, 180.58, 181.4
974025B, FILTER UNIT .45UM 12/CS, 247.44, 247.44, , 182.92
974025C, FILTER UN RECEIVR 500ML 12/CS, 62.7, 53.46, 53.83, 54.07
974025D, FILTER UN RECEOVR 150ML 24/CS, 86.74, 74.0664, 74.54, 74.88
974025E, FILTER UN RECEIVR 250ML 24/CS, 97.88, 88.24, , 84.49
974025F, FILTER UN RECEIV 1000ML 12/CS, 95.48, 85.37, 81.82, 82.19
974028C, FLTR UNIT TC .20UM 500ML 12/CS, 195.75, 173.54088, 178.54, 179.35
97403A, FILT UN STL .2UM 1000ML 12/CS, 270.55, 237.34296, , 245.28
974039A, FILTR UN TC .20UM 12/CS, 116.97, 105.47, , 109.0
974040A, FILT UN TC .20UM 1000ML 12/CS, 268.15, 236.6334, 243.45, 244.55
974043A, FLT UNT MDIA PLS .2UM 1L 12/CS, 291.23, 258.33815999999996, , 266.98
974044A, SERM FLT UNT .20UM 500ML 12/CS, 319.5, 319.5, , 220.96
974063E, FLT UNIT 90MM 500ML PES 12/CS, 182.22, 160.05924, , 
974101, FLTR UTA-PES150ML50D.2 12CS, 77.13, 65.9502, 66.78, 67.08
974102, FLTR UTA-PES500ML75D.2 12CS, 168.2, 143.35055999999997, 145.4, 141.2
974103, FLTR UTA-PES1L90MM0.2 12CS, 226.22, 192.97116, 195.52, 194.41
974104, FLTR UTA-PES250ML50D.2 12CS, 99.16, 84.76812, 86.11, 86.09
974105, FLTR UTA-PES500ML90D.2 12CS, 168.2, 143.35055999999997, 145.6, 146.26
974106, FLTRBTPA-PES33MM500ML 12CS, 102.1, 94.15, 96.86, 97.3
974107, FLTRBTPA-PES45MM500ML 12CS, 102.1, 98.98, 101.83, 102.29
974109, FLTRBTPA-PES45MM150ML 12CS, 73.45, 71.66, 73.72, 74.05
974111, FLTRBTLTPA-PES45MM1L 12CS, 163.07, 159.13, 163.71, 164.45
974188, FLTR UNIT A-PES 50ML 12/CSFLT, 74.92, 63.95759999999999, 65.4, 65.7
974475, $ACU-GUARD 10/PK, 188.4, 187.47, 184.2, 
974476, VACUM GUARD W/1/2IN FITT 10PK, 169.46, 168.62, , 162.15
974479, HEPA-VENT 10/PK, 97.23, 96.78, 94.91, 90.43
975413, SYR FLT 28MM .2SFCA STRL 50/CS, 119.02, 119.02, 122.45, 123.0
975421, SYR FLT 28MM .45SFCA STR 50/CS, 119.51, 119.51, 122.95, 123.51
975429, SYR FLTR 28MM 0.2PES STR 50/CS, 160.91, 160.91, 165.55, 
9761100, FIL SYS 250ML .22UM 50MM 12/CS, 94.14, 94.14, , 
9761102, FIL SYS 500ML .22UM 70MM 12/CS, 156.66, 149.37, , 154.36
9761107, FLT PES 500/500 .22UM 12/CS, 150.0, 137.05, 141.0, 141.64
9761108, FLT PES 1 L/1 L .22UM 12/CS, 227.26, 217.15, 223.41, 224.42
9761112, FLT PES B/T 45MM .22UM 12/CS, 98.05, 95.68, 98.44, 98.89
9761113, BTL RLR 850CM2 INDST STR 20/CS, 145.87, 140.96, 145.02, 138.37
9761145, 96 WELL TC CLSTR STERILE 50/CS, 218.99, 218.99, , 
9761146, 24 WELL TC CLSTR STERILE 50/CS, 160.6, 135.95364, 139.87, 140.5
976134, FLTR TUBE TOP 50ML 22UM 12/CS, 80.47, 80.47, 82.79, 83.16
976135, FLTR TUBE TOP 50ML 45UM 12/CS, 90.42, 90.42, , 
